Beam center : 0 0 2 mm
Beam power  : 10 W
Beam waist  : 0.3 mm (radius at the intensity of 1/e^2)
RayleighLength : 1157.94 mm (M^2==1)
Peak intensity : 70.7355 W/mm^2
Time duration : -1.79769e+308 - 1.79769e+308 s
Detuning : 0 [rad/s] (0 [Hz])
Beam center : 0 0 3 mm
Beam center timing : 2e-06 s
Beam energy  : 0.1 J
Beam waist  : 2 mm (radius at the intensity of 1/e^2)
Beam duration : 2e-09 s (FWHM), 8.49322e-10 s (sigma)
RayleighLength : 35398.2 mm (M^2==1)
Peak power : 4.69719e+07 W
Peak intensity at the waist : 7.4758e+06 W/mm^2
Rho 0.628968 -3.34924e-17 3.1246e-17 3.33132e-33 1.98604e-47
Rho 0.45157 -3.39402e-08 -7.19324e-08 1.40093e-14 2.71692e-21
Rho 0.675551 -4.27695e-112 4.47415e-112 5.67097e-223 -5.67891e-237
Rho 0.631162 0 0 0 0
Rho 1 0 0 0 0
Rho 0.65908 0 0 0 0
Rho 0.555785 0 0 0 0
Rho 0.540005 0 0 0 0
Rho 0.529689 4.80363e-44 -3.89651e-44 4.87691e-87 -1.8072e-87
Rho 1 0 0 0 0
Rho 0.506137 4.95795e-16 1.86921e-15 7.38885e-30 -4.68482e-42
Rho 0.61586 0 0 0 0
Rho 0.413992 0 0 0 0
Rho 0.566534 -2.23157e-86 -2.23822e-86 -5.04037e-174 6.29481e-172
Rho 0.429096 0 0 0 0
Rho 0.530862 0 0 0 0
Rho 1 0 0 0 0
Rho 0.527038 -2.15662e-146 -2.22963e-145 9.52086e-290 -1.59627e-306
Rho 0.669628 1.25039e-290 7.19989e-290 0 0
Rho 0.573608 3.71535e-12 4.01097e-12 5.21166e-23 5.56668e-34
Rho 0.478483 -5.80091e-274 -8.00125e-274 0 0
Rho 0.524197 0 0 0 0
Rho 0.540374 0 0 0 0
Rho 0.46919 1.841e-48 3.14824e-46 2.56308e-91 1.06343e-115
Rho 0.601023 1.05754e-209 3.02386e-209 0 0
Rho 1 0 0 0 0
Rho 0.780577 6.84714e-65 2.86869e-63 1.0539e-125 1.67983e-128
Rho 0.538222 1.3805e-160 1.51477e-160 7.80278e-320 0
Rho 0.764562 0 0 0 0
Rho 0.921628 0 0 0 0
Rho 1 0 0 0 0
Rho 0.611929 -1.89417e-53 1.17127e-53 8.10511e-106 -3.90225e-114
Rho 1 0 0 0 0
Rho 0.411526 0 0 0 0
Rho 0.604816 0 0 0 0
Rho 1 0 0 0 0
Rho 0.606945 0 0 0 0
Rho 0.5941 0 0 0 0
Rho 0.51018 3.28055e-07 -7.11476e-08 2.20868e-13 1.60031e-19
Rho 0.568468 -3.6992e-177 1.36993e-177 0 0
Rho 1 0 0 0 0
Rho 0.451666 0 0 0 0
Rho 1 0 0 0 0
Rho 0.52829 0 0 0 0
Rho 0.562949 0 0 0 0
Rho 0.907719 7.68163e-59 2.00091e-57 4.40872e-114 5.35443e-133
Rho 0.417398 0 0 0 0
